Token           ST_Position     
id              (7, 1)          
25              -1              
18              -1              
25              -1              
26              -1              
id              (7, 2)          
25              -1              
26              -1              
id              (8, 1)          
25              -1              
25              -1              
35              -1              
23              -1              
id              (7, 2)          
24              -1              
25              -1              
35              -1              
23              -1              
id              (8, 1)          
24              -1              
25              -1              
25              -1              
27              -1              
23              -1              
id              (7, 2)          
9               -1              
id              (8, 1)          
24              -1              
18              -1              
25              -1              
34              -1              
23              -1              
constant        (5, 1)          
24              -1              
25              -1              
19              -1              
28              -1              
18              -1              
25              -1              
34              -1              
23              -1              
constant        (6, 1)          
24              -1              
25              -1              
19              -1              
25              -1              
19              -1              
25              -1              
id              (1, 1)          
